Team,Team ID
Team Liquid,474
Natus Vincere,4915
DRX,8185
LOUD,6961
FUT Esports,1184
T1,14
Evil Geniuses,5248
FunPlus Phoenix,11328
NRG Esports,1034
Bilibili Gaming,12010
FNATIC,2593
ZETA DIVISION,5448
Paper Rex,624
KRÜ Esports,2355
EDward Gaming,1120
Giants Gaming,2304
MIBR,7386
FURIA,2406
Sentinels,2
100 Thieves,120
Cloud9,188
Leviatán,2359
Team Heretics,1001
KOI,7035
BBL Esports,397
Karmine Corp,8877
Talon Esports,8304
DetonatioN FocusMe,278
Rex Regum Qeon,878
Global Esports,918
Gen.G,17
Team Secret,6199
Weibo Gaming,1224
Totoro Gaming,1211
Number One Player,4460
Douyu Gaming,12011
Gank Gaming,12202
Royal Never Give Up,804
Four Angry Men,11980
Night Wings Gaming,5944
Invincible Gaming,4683
Nova Esports,12064
TYLOO,731
Monarch Effect,9052
Shenzhen NTER,4462
Kingzone,11983
Dragon Ranger Gaming,11981
Rare Atom,11985
Trace Esports,12685
Attacking Soul Esports,1837
Team Vitality,2059
